fiscal_year,expenditure_table,top_code,top_name,estimate,printed_top_total,sum_printed_children,difference_top_minus_children,child_count,status
2026-27,current_capital,01,General Public Service,BE_prior,5787114,5787114,0,3,exact
2026-27,current_capital,01,General Public Service,RE_prior,3607449,3607449,0,3,exact
2026-27,current_capital,01,General Public Service,BE_current,6061282,6061282,0,3,exact
2026-27,current_revenue,01,General Public Service,BE_prior,12210851,12210850,1,8,rounding
2026-27,current_revenue,01,General Public Service,RE_prior,10782451,10782453,-2,8,rounding
2026-27,current_revenue,01,General Public Service,BE_current,12799647,12799647,0,8,exact
2026-27,current_revenue,02,Defence Affairs and Services,BE_prior,2557950,2557950,0,2,exact
2026-27,current_revenue,02,Defence Affairs and Services,RE_prior,2595715,2595715,0,2,exact
2026-27,current_revenue,02,Defence Affairs and Services,BE_current,3010900,3010900,0,2,exact
2026-27,current_revenue,03,Public Order and Safety Affairs,BE_prior,351679,351680,-1,6,rounding
2026-27,current_revenue,03,Public Order and Safety Affairs,RE_prior,373317,373317,0,6,exact
2026-27,current_revenue,03,Public Order and Safety Affairs,BE_current,389469,389469,0,6,exact
2026-27,current_revenue,04,Economic Affairs,BE_prior,242144,242143,1,8,rounding
2026-27,current_revenue,04,Economic Affairs,RE_prior,245222,245221,1,8,rounding
2026-27,current_revenue,04,Economic Affairs,BE_current,238438,238436,2,8,rounding
2026-27,current_revenue,05,Environment Protection,BE_prior,3168,3168,0,2,exact
2026-27,current_revenue,05,Environment Protection,RE_prior,2740,2740,0,2,exact
2026-27,current_revenue,05,Environment Protection,BE_current,2406,2406,0,2,exact
2026-27,current_revenue,06,Housing and Community Amenities,BE_prior,19249,19249,0,2,exact
2026-27,current_revenue,06,Housing and Community Amenities,RE_prior,12560,12560,0,2,exact
2026-27,current_revenue,06,Housing and Community Amenities,BE_current,18570,18570,0,2,exact
2026-27,current_revenue,07,Health,BE_prior,31975,31974,1,4,rounding
2026-27,current_revenue,07,Health,RE_prior,60245,60244,1,4,rounding
2026-27,current_revenue,07,Health,BE_current,37438,37438,0,4,exact
2026-27,current_revenue,08,"Recreation, Culture and Religion",BE_prior,22158,22159,-1,5,rounding
2026-27,current_revenue,08,"Recreation, Culture and Religion",RE_prior,36317,36317,0,5,exact
2026-27,current_revenue,08,"Recreation, Culture and Religion",BE_current,23796,23796,0,5,exact
2026-27,current_revenue,09,Education Affairs and Services,BE_prior,112683,112683,0,7,exact
2026-27,current_revenue,09,Education Affairs and Services,RE_prior,169026,169027,-1,7,rounding
2026-27,current_revenue,09,Education Affairs and Services,BE_current,117748,117748,0,7,exact
2026-27,current_revenue,10,Social Protection,BE_prior,734187,734187,0,3,exact
2026-27,current_revenue,10,Social Protection,RE_prior,728730,728730,0,3,exact
2026-27,current_revenue,10,Social Protection,BE_current,857007,857008,-1,3,rounding
2026-27,dev_capital,01,General Public Service,BE_prior,1163036,1163036,0,2,exact
2026-27,dev_capital,01,General Public Service,RE_prior,1131537,1131537,0,2,exact
2026-27,dev_capital,01,General Public Service,BE_current,1006723,1006723,0,2,exact
2026-27,dev_capital,04,Economic Affairs,BE_prior,21144,21144,0,5,exact
2026-27,dev_capital,04,Economic Affairs,RE_prior,24268,24267,1,5,rounding
2026-27,dev_capital,04,Economic Affairs,BE_current,25290,25291,-1,5,rounding
2026-27,dev_revenue,01,General Public Service,BE_prior,391839,391839,0,6,exact
2026-27,dev_revenue,01,General Public Service,RE_prior,313426,313425,1,6,rounding
2026-27,dev_revenue,01,General Public Service,BE_current,367805,367805,0,6,exact
2026-27,dev_revenue,02,Defence Affairs and Services,BE_prior,2720,2720,0,3,exact
2026-27,dev_revenue,02,Defence Affairs and Services,RE_prior,2668,2668,0,3,exact
2026-27,dev_revenue,02,Defence Affairs and Services,BE_current,2961,2961,0,3,exact
2026-27,dev_revenue,03,Public Order and Safety Affairs,BE_prior,2921,2921,0,3,exact
2026-27,dev_revenue,03,Public Order and Safety Affairs,RE_prior,2103,2103,0,3,exact
2026-27,dev_revenue,03,Public Order and Safety Affairs,BE_current,5743,5743,0,3,exact
2026-27,dev_revenue,04,Economic Affairs,BE_prior,105611,105611,0,7,exact
2026-27,dev_revenue,04,Economic Affairs,RE_prior,104589,104589,0,7,exact
2026-27,dev_revenue,04,Economic Affairs,BE_current,79382,79382,0,7,exact
2026-27,dev_revenue,05,Environment Protection,BE_prior,2784,2784,0,1,exact
2026-27,dev_revenue,05,Environment Protection,RE_prior,2292,2292,0,1,exact
2026-27,dev_revenue,05,Environment Protection,BE_current,2478,2478,0,1,exact
2026-27,dev_revenue,06,Housing and Community Amenities,BE_prior,7977,7977,0,2,exact
2026-27,dev_revenue,06,Housing and Community Amenities,RE_prior,6596,6596,0,2,exact
2026-27,dev_revenue,06,Housing and Community Amenities,BE_current,14189,14189,0,2,exact
2026-27,dev_revenue,07,Health,BE_prior,15102,15102,0,3,exact
2026-27,dev_revenue,07,Health,RE_prior,13691,13691,0,3,exact
2026-27,dev_revenue,07,Health,BE_current,18217,18217,0,3,exact
2026-27,dev_revenue,08,"Recreation, Culture and Religion",BE_prior,3697,3696,1,4,rounding
2026-27,dev_revenue,08,"Recreation, Culture and Religion",RE_prior,2479,2479,0,4,exact
2026-27,dev_revenue,08,"Recreation, Culture and Religion",BE_current,2822,2822,0,4,exact
2026-27,dev_revenue,09,Education Affairs and Services,BE_prior,55824,55824,0,4,exact
2026-27,dev_revenue,09,Education Affairs and Services,RE_prior,52639,52639,0,4,exact
2026-27,dev_revenue,09,Education Affairs and Services,BE_current,76381,76381,0,4,exact
2026-27,dev_revenue,10,Social Protection,BE_prior,2300,2300,0,1,exact
2026-27,dev_revenue,10,Social Protection,RE_prior,574,574,0,1,exact
2026-27,dev_revenue,10,Social Protection,BE_current,5317,5317,0,1,exact
